,timestamp,x,y,polarity,_p1,_p2,predict
0,19050,208,180,1,0,0,1
1,19052,209,164,1,0,0,1
2,19052,207,175,1,0,0,1
3,19053,208,175,1,0,0,1
4,19053,210,181,1,0,0,1
5,19053,212,162,1,0,0,1
6,19055,205,178,1,0,0,1
7,19055,210,172,1,0,0,1
8,19055,210,179,1,0,0,1
9,19056,205,183,1,0,0,1
10,19056,209,161,1,0,0,1
11,19056,208,161,1,0,0,1
12,19057,206,178,1,0,0,1
13,19057,211,183,1,0,0,1
14,19057,207,174,1,0,0,1
15,19057,209,175,1,0,0,1
16,19058,212,177,1,0,0,1
17,19058,211,186,1,0,0,1
18,19058,209,179,1,0,0,1
19,19058,211,176,1,0,0,1
20,19058,205,177,1,0,0,1
21,19058,203,194,1,0,0,1
22,19059,213,162,1,0,0,1
23,19059,213,159,1,0,0,1
24,19059,211,182,1,0,0,1
25,19059,210,190,1,0,0,1
26,19059,209,186,1,0,0,1
27,19059,202,191,1,0,0,1
28,19059,204,176,1,0,0,1
29,19059,204,185,1,0,0,1
30,19059,209,189,1,0,0,1
31,19060,204,183,1,0,0,1
32,19060,203,185,1,0,0,1
33,19060,207,179,1,0,0,1
34,19060,203,184,1,0,0,1
35,19060,206,193,1,0,0,1
36,19061,210,173,1,0,0,1
37,19061,210,174,1,0,0,1
38,19061,207,176,1,0,0,1
39,19061,210,191,1,0,0,1
40,19061,206,179,1,0,0,1
41,19061,192,176,1,0,0,1
42,19061,208,174,1,0,0,1
43,19061,213,160,1,0,0,1
44,19061,208,171,1,0,0,1
45,19062,207,185,1,0,0,1
46,19062,207,160,1,0,0,1
47,19062,207,182,1,0,0,1
48,19062,213,161,1,0,0,1
49,19062,206,190,1,0,0,1
50,19062,211,171,1,0,0,1
51,19062,211,179,1,0,0,1
52,19062,206,175,1,0,0,1
53,19062,211,161,1,0,0,1
54,19062,211,163,1,0,0,1
55,19063,208,173,1,0,0,1
56,19063,212,175,1,0,0,1
57,19063,206,185,1,0,0,1
58,19063,210,171,1,0,0,1
59,19063,207,173,1,0,0,1
60,19063,208,186,1,0,0,1
61,19064,206,177,1,0,0,1
62,19065,212,158,1,0,0,1
63,19065,212,161,1,0,0,1
64,19065,206,200,1,0,0,1
65,19065,209,173,1,0,0,1
66,19066,202,192,1,0,0,1
67,19066,211,160,1,0,0,1
68,19066,210,161,1,0,0,1
69,19067,207,172,1,0,0,1
70,19067,199,192,1,0,0,1
71,19067,205,195,1,0,0,1
72,19067,200,192,1,0,0,1
73,19068,206,173,1,0,0,1
74,19068,214,176,1,0,0,1
75,19068,207,178,1,0,0,1
76,19068,210,157,1,0,0,1
77,19068,210,162,1,0,0,1
78,19069,195,197,0,0,0,1
79,19069,213,176,1,0,0,1
80,19069,209,176,1,0,0,1
81,19069,209,174,1,0,0,1
82,19070,208,162,1,0,0,1
83,19070,215,161,1,0,0,1
84,19070,204,192,1,0,0,1
85,19070,208,176,1,0,0,1
86,19070,207,184,1,0,0,1
87,19070,203,191,1,0,0,1
88,19070,211,158,1,0,0,1
89,19070,209,163,1,0,0,1
90,19070,212,163,1,0,0,1
91,19070,211,169,1,0,0,1
92,19070,209,157,1,0,0,1
93,19071,198,196,0,0,0,1
94,19072,209,181,1,0,0,1
95,19072,199,190,1,0,0,1
96,19072,213,183,1,0,0,1
97,19072,211,177,1,0,0,1
98,19073,210,179,1,0,0,1
99,19073,209,178,1,0,0,1
100,19073,208,158,1,0,0,1
101,19073,201,190,1,0,0,1
102,19073,208,172,1,0,0,1
103,19073,205,184,1,0,0,1
104,19073,207,171,1,0,0,1
105,19073,210,165,1,0,0,1
106,19074,210,177,1,0,0,1
107,19074,207,164,1,0,0,1
108,19074,205,175,1,0,0,1
109,19074,209,177,1,0,0,1
110,19074,205,194,1,0,0,1
111,19074,205,178,1,0,0,1
112,19074,208,159,1,0,0,1
113,19075,211,162,1,0,0,1
114,19075,211,184,1,0,0,1
115,19075,195,193,0,0,0,1
116,19075,213,178,1,0,0,1
117,19076,206,162,1,0,0,1
118,19076,208,177,1,0,0,1
119,19076,209,162,1,0,0,1
120,19076,209,165,1,0,0,1
121,19077,206,180,1,0,0,1
122,19079,212,165,1,0,0,1
123,19079,211,164,1,0,0,1
124,19079,210,180,1,0,0,1
125,19080,206,195,1,0,0,1
126,19080,210,175,1,0,0,1
127,19080,208,175,1,0,0,1
128,19080,196,193,0,0,0,1
129,19081,200,190,1,0,0,1
130,19081,196,194,0,0,0,1
131,19081,204,175,1,0,0,1
132,19081,212,162,1,0,0,1
133,19082,205,174,1,0,0,1
134,19082,205,180,1,0,0,1
135,19082,203,183,1,0,0,1
136,19082,211,181,1,0,0,1
137,19082,190,189,1,0,0,1
138,19082,201,193,1,0,0,1
139,19082,195,194,0,0,0,1
140,19082,189,175,1,0,0,1
141,19083,207,177,1,0,0,1
