,timestamp,x,y,polarity,_p1,_p2,predict
0,40200,202,166,1,0,0,0
1,40200,208,164,1,0,0,0
2,40200,202,164,1,0,0,0
3,40201,190,165,1,0,0,0
4,40202,197,162,1,0,0,0
5,40202,205,164,1,0,0,0
6,40202,206,163,1,0,0,0
7,40203,207,160,1,0,0,0
8,40203,200,159,1,0,0,0
9,40203,197,163,1,0,0,0
10,40204,201,165,1,0,0,0
11,40204,204,160,1,0,0,0
12,40204,202,160,1,0,0,0
13,40204,204,167,1,0,0,0
14,40204,198,173,1,0,0,0
15,40205,202,161,1,0,0,0
16,40205,191,167,1,0,0,0
17,40206,189,176,1,0,0,0
18,40206,198,164,1,0,0,0
19,40207,197,173,1,0,0,0
20,40207,205,160,1,0,0,0
21,40207,198,163,1,0,0,0
22,40207,204,155,1,0,0,0
23,40208,196,163,1,0,0,0
24,40208,201,162,1,0,0,0
25,40208,204,166,1,0,0,0
26,40208,205,166,1,0,0,0
27,40208,207,155,1,0,0,0
28,40209,199,165,1,0,0,0
29,40209,195,173,1,0,0,0
30,40209,209,163,1,0,0,0
31,40209,209,164,1,0,0,0
32,40209,197,175,1,0,0,0
33,40210,207,166,1,0,0,0
34,40210,204,165,1,0,0,0
35,40211,195,171,1,0,0,0
36,40211,206,155,1,0,0,0
37,40212,200,160,1,0,0,0
38,40212,199,160,1,0,0,0
39,40212,200,172,1,0,0,0
40,40212,198,168,1,0,0,0
41,40212,206,165,1,0,0,0
42,40212,205,161,1,0,0,0
43,40213,205,162,1,0,0,0
44,40213,202,172,1,0,0,0
45,40214,198,159,1,0,0,0
46,40214,201,166,1,0,0,0
47,40214,202,173,1,0,0,0
48,40214,199,150,1,0,0,0
49,40214,200,163,1,0,0,0
50,40214,203,160,1,0,0,0
51,40214,206,156,1,0,0,0
52,40215,190,166,1,0,0,0
53,40215,195,178,1,0,0,0
54,40215,193,163,1,0,0,0
55,40215,197,172,1,0,0,0
56,40216,201,173,1,0,0,0
57,40216,189,166,1,0,0,0
58,40217,208,156,1,0,0,0
59,40217,197,160,1,0,0,0
60,40217,190,169,1,0,0,0
61,40217,198,167,1,0,0,0
62,40217,190,164,1,0,0,0
63,40218,191,166,1,0,0,0
64,40218,200,166,1,0,0,0
65,40218,207,162,1,0,0,0
66,40218,206,166,1,0,0,0
67,40218,197,174,1,0,0,0
68,40219,199,158,1,0,0,0
69,40219,198,162,1,0,0,0
70,40219,205,159,1,0,0,0
71,40219,197,171,1,0,0,0
72,40220,197,164,1,0,0,0
73,40220,209,157,1,0,0,0
74,40220,200,175,1,0,0,0
75,40220,202,167,1,0,0,0
76,40220,209,160,1,0,0,0
77,40220,200,161,1,0,0,0
78,40221,201,161,1,0,0,0
79,40221,205,163,1,0,0,0
80,40221,207,164,1,0,0,0
81,40222,197,158,1,0,0,0
82,40222,207,158,1,0,0,0
83,40222,205,164,1,0,0,0
84,40222,197,162,1,0,0,0
85,40222,208,165,1,0,0,0
86,40223,199,161,1,0,0,0
87,40223,190,163,1,0,0,0
88,40223,195,172,1,0,0,0
89,40224,198,160,1,0,0,0
90,40224,206,170,1,0,0,0
91,40224,184,151,1,0,0,0
92,40224,198,161,1,0,0,0
93,40225,204,161,1,0,0,0
94,40225,205,158,1,0,0,0
95,40225,192,161,1,0,0,0
