,timestamp,x,y,polarity,_p1,_p2,predict
0,31350,201,146,1,0,0,0
1,31351,204,144,1,0,0,0
2,31351,199,133,1,0,0,0
3,31351,199,141,1,0,0,0
4,31352,202,143,1,0,0,0
5,31352,197,141,1,0,0,0
6,31352,208,146,1,0,0,0
7,31353,187,144,1,0,0,0
8,31353,203,134,1,0,0,0
9,31353,206,145,1,0,0,0
10,31354,203,138,1,0,0,0
11,31355,201,126,1,0,0,0
12,31355,206,137,1,0,0,0
13,31355,199,140,1,0,0,0
14,31355,204,148,1,0,0,0
15,31355,201,138,1,0,0,0
16,31355,198,141,1,0,0,0
17,31355,205,144,1,0,0,0
18,31356,200,148,1,0,0,0
19,31356,201,142,1,0,0,0
20,31356,206,142,1,0,0,0
21,31356,198,128,1,0,0,0
22,31356,200,140,1,0,0,0
23,31356,202,144,1,0,0,0
24,31357,207,140,1,0,0,0
25,31357,204,143,1,0,0,0
26,31357,207,141,1,0,0,0
27,31357,203,149,1,0,0,0
28,31358,200,144,1,0,0,0
29,31358,210,147,1,0,0,0
30,31358,200,129,1,0,0,0
31,31358,199,129,1,0,0,0
32,31358,202,126,1,0,0,0
33,31358,195,142,1,0,0,0
34,31358,203,157,0,0,0,0
35,31358,202,156,1,0,0,0
36,31358,202,157,1,0,0,0
37,31358,203,130,1,0,0,0
38,31359,208,138,1,0,0,0
39,31359,204,132,1,0,0,0
40,31359,197,138,1,0,0,0
41,31359,202,145,1,0,0,0
42,31360,203,126,0,0,0,0
43,31360,192,148,1,0,0,0
44,31360,191,122,1,0,0,0
45,31360,199,157,1,0,0,0
46,31360,201,145,1,0,0,0
47,31360,208,141,1,0,0,0
48,31360,209,144,1,0,0,0
49,31361,202,138,1,0,0,0
50,31361,198,154,1,0,0,0
51,31361,206,148,1,0,0,0
52,31361,203,157,0,0,0,0
53,31361,198,124,1,0,0,0
54,31361,209,139,1,0,0,0
55,31361,202,139,1,0,0,0
56,31361,205,138,1,0,0,0
57,31362,191,153,1,0,0,0
58,31362,206,143,1,0,0,0
59,31363,202,150,1,0,0,0
60,31363,202,153,1,0,0,0
61,31363,191,121,1,0,0,0
62,31363,208,142,1,0,0,0
63,31364,198,125,1,0,0,0
64,31364,182,145,1,0,0,0
65,31364,200,130,1,0,0,0
66,31364,197,139,1,0,0,0
67,31365,204,146,1,0,0,0
68,31365,203,148,1,0,0,0
69,31365,199,144,1,0,0,0
70,31365,208,147,1,0,0,0
71,31365,197,142,1,0,0,0
72,31365,209,139,0,0,0,0
73,31365,203,141,1,0,0,0
74,31367,197,152,1,0,0,0
75,31367,208,149,1,0,0,0
76,31367,198,135,1,0,0,0
77,31367,203,157,0,0,0,0
78,31367,205,143,1,0,0,0
79,31368,199,147,1,0,0,0
80,31368,203,139,1,0,0,0
81,31368,199,135,1,0,0,0
82,31368,195,143,1,0,0,0
83,31369,199,156,0,0,0,0
84,31369,198,134,1,0,0,0
85,31369,210,139,1,0,0,0
86,31369,202,132,1,0,0,0
87,31370,205,150,1,0,0,0
88,31370,187,133,1,0,0,0
89,31370,201,136,1,0,0,0
90,31370,201,143,1,0,0,0
91,31371,204,133,1,0,0,0
92,31371,203,145,1,0,0,0
93,31371,207,148,1,0,0,0
94,31371,200,145,1,0,0,0
95,31371,191,150,1,0,0,0
96,31372,205,141,1,0,0,0
97,31372,198,127,1,0,0,0
98,31372,199,149,1,0,0,0
99,31373,202,141,1,0,0,0
100,31373,199,155,1,0,0,0
101,31373,200,141,1,0,0,0
102,31373,209,146,1,0,0,0
103,31374,200,132,1,0,0,0
104,31374,197,126,1,0,0,0
105,31374,206,144,1,0,0,0
106,31374,208,150,1,0,0,0
107,31374,203,137,1,0,0,0
108,31374,201,144,1,0,0,0
109,31375,199,148,1,0,0,0
110,31375,199,127,1,0,0,0
111,31375,201,127,1,0,0,0
112,31376,202,142,1,0,0,0
113,31376,205,151,1,0,0,0
114,31376,188,134,1,0,0,0
115,31376,199,153,1,0,0,0
116,31377,207,142,1,0,0,0
117,31377,200,142,1,0,0,0
118,31377,198,131,1,0,0,0
119,31377,207,144,1,0,0,0
120,31377,208,145,1,0,0,0
121,31377,190,151,1,0,0,0
122,31378,202,140,1,0,0,0
123,31378,201,132,1,0,0,0
124,31378,204,147,1,0,0,0
125,31379,192,121,1,0,0,0
126,31379,202,133,1,0,0,0
127,31379,200,135,1,0,0,0
128,31379,200,137,1,0,0,0
129,31379,192,138,0,0,0,0
130,31380,204,138,1,0,0,0
131,31380,207,149,1,0,0,0
132,31380,199,123,1,0,0,0
133,31380,199,125,1,0,0,0
134,31380,206,140,1,0,0,0
135,31380,208,140,1,0,0,0
136,31380,209,142,1,0,0,0
137,31380,199,142,1,0,0,0
138,31380,186,157,0,0,0,0
139,31381,200,155,1,0,0,0
140,31381,204,142,1,0,0,0
141,31381,200,150,1,0,0,0
142,31381,209,149,1,0,0,0
143,31381,202,144,1,0,0,0
144,31381,191,147,1,0,0,0
145,31382,209,143,1,0,0,0
146,31382,209,139,1,0,0,0
147,31382,205,148,1,0,0,0
148,31382,200,144,1,0,0,0
149,31382,207,151,1,0,0,0
150,31383,208,139,1,0,0,0
151,31383,200,143,1,0,0,0
152,31383,202,131,1,0,0,0
153,31383,207,145,1,0,0,0
154,31383,191,149,1,0,0,0
155,31383,203,158,1,0,0,0
156,31384,207,138,1,0,0,0
157,31384,199,156,1,0,0,0
158,31384,202,134,1,0,0,0
159,31384,202,130,1,0,0,0
160,31384,205,140,1,0,0,0
161,31384,205,147,1,0,0,0
162,31384,199,151,1,0,0,0
163,31385,207,143,1,0,0,0
164,31385,200,125,1,0,0,0
165,31385,202,129,1,0,0,0
166,31385,200,131,1,0,0,0
167,31386,200,139,1,0,0,0
168,31386,198,126,1,0,0,0
169,31386,204,151,1,0,0,0
170,31386,198,138,1,0,0,0
171,31386,196,143,1,0,0,0
172,31387,209,145,1,0,0,0
173,31387,208,148,1,0,0,0
174,31387,199,126,1,0,0,0
175,31387,201,153,1,0,0,0
176,31387,200,136,1,0,0,0
177,31387,198,146,1,0,0,0
178,31387,197,136,1,0,0,0
179,31388,183,141,1,0,0,0
180,31388,199,146,1,0,0,0
181,31388,209,139,0,0,0,0
182,31389,208,137,1,0,0,0
183,31389,199,124,1,0,0,0
184,31389,210,143,1,0,0,0
185,31389,199,145,1,0,0,0
186,31389,196,138,1,0,0,0
