,timestamp,x,y,polarity,_p1,_p2,predict
0,38850,202,108,1,0,0,0
1,38851,206,111,1,0,0,0
2,38852,202,101,1,0,0,0
3,38854,207,95,1,0,0,0
4,38854,198,98,1,0,0,0
5,38854,206,105,1,0,0,0
6,38854,206,96,1,0,0,0
7,38855,194,100,1,0,0,0
8,38855,205,112,1,0,0,0
9,38855,209,115,1,0,0,0
10,38855,206,98,1,0,0,0
11,38855,207,101,1,0,0,0
12,38855,210,106,1,0,0,0
13,38855,208,107,1,0,0,0
14,38856,203,109,1,0,0,0
15,38856,199,102,1,0,0,0
16,38856,199,92,1,0,0,0
17,38856,197,100,1,0,0,0
18,38857,207,104,1,0,0,0
19,38857,207,111,1,0,0,0
20,38857,195,97,1,0,0,0
21,38857,196,98,1,0,0,0
22,38857,211,105,1,0,0,0
23,38857,195,99,1,0,0,0
24,38858,200,100,1,0,0,0
25,38858,205,110,1,0,0,0
26,38858,208,96,1,0,0,0
27,38859,201,100,1,0,0,0
28,38859,210,107,1,0,0,0
29,38859,202,107,1,0,0,0
30,38859,195,92,1,0,0,0
31,38859,202,112,1,0,0,0
32,38860,208,118,1,0,0,0
33,38860,204,104,1,0,0,0
34,38860,207,98,1,0,0,0
35,38861,197,90,1,0,0,0
36,38861,204,102,1,0,0,0
37,38861,198,94,1,0,0,0
38,38862,196,95,1,0,0,0
39,38862,205,107,1,0,0,0
40,38862,209,113,1,0,0,0
41,38862,211,118,1,0,0,0
42,38862,204,100,1,0,0,0
43,38862,208,111,1,0,0,0
44,38863,203,108,1,0,0,0
45,38863,204,107,1,0,0,0
46,38863,210,120,0,0,0,0
47,38863,195,89,1,0,0,0
48,38864,195,98,1,0,0,0
49,38864,211,107,1,0,0,0
50,38864,209,116,1,0,0,0
51,38864,199,109,1,0,0,0
52,38864,193,101,1,0,0,0
53,38865,204,106,1,0,0,0
54,38865,195,102,1,0,0,0
55,38865,197,97,1,0,0,0
56,38865,205,96,1,0,0,0
57,38865,210,108,1,0,0,0
58,38866,205,102,1,0,0,0
59,38866,193,102,1,0,0,0
60,38866,197,93,1,0,0,0
61,38866,208,98,1,0,0,0
62,38866,206,109,1,0,0,0
63,38867,197,104,1,0,0,0
64,38868,207,110,1,0,0,0
65,38868,208,99,1,0,0,0
66,38868,199,107,1,0,0,0
67,38868,201,103,1,0,0,0
68,38868,208,103,1,0,0,0
69,38868,203,104,1,0,0,0
70,38868,209,106,1,0,0,0
71,38868,197,101,1,0,0,0
72,38869,203,106,1,0,0,0
73,38869,202,105,1,0,0,0
74,38870,207,109,1,0,0,0
75,38870,192,99,1,0,0,0
76,38871,206,112,1,0,0,0
77,38871,184,107,0,0,0,0
78,38871,206,104,1,0,0,0
79,38871,209,105,1,0,0,0
80,38872,198,97,1,0,0,0
81,38872,208,115,1,0,0,0
82,38873,200,98,1,0,0,0
83,38873,211,108,1,0,0,0
84,38873,209,117,1,0,0,0
85,38873,198,90,1,0,0,0
86,38874,204,105,1,0,0,0
87,38874,197,91,1,0,0,0
88,38874,203,103,1,0,0,0
89,38875,205,105,1,0,0,0
90,38875,206,110,1,0,0,0
91,38875,209,99,1,0,0,0
92,38876,204,112,1,0,0,0
93,38876,210,117,1,0,0,0
94,38876,196,100,1,0,0,0
95,38877,203,101,1,0,0,0
96,38877,206,114,1,0,0,0
97,38877,209,107,1,0,0,0
98,38877,205,108,1,0,0,0
99,38878,207,108,1,0,0,0
100,38879,203,107,1,0,0,0
101,38879,198,96,1,0,0,0
102,38880,208,104,1,0,0,0
103,38880,201,105,1,0,0,0
104,38880,203,113,1,0,0,0
105,38880,207,112,1,0,0,0
106,38881,206,106,1,0,0,0
107,38881,206,113,1,0,0,0
108,38881,208,110,1,0,0,0
109,38881,200,108,1,0,0,0
110,38882,205,101,1,0,0,0
111,38882,198,98,1,0,0,0
112,38882,199,100,1,0,0,0
113,38882,205,106,1,0,0,0
114,38882,206,107,1,0,0,0
115,38882,202,103,1,0,0,0
116,38882,209,110,1,0,0,0
117,38883,204,108,1,0,0,0
118,38884,205,109,1,0,0,0
119,38884,205,114,0,0,0,0
120,38884,205,103,1,0,0,0
121,38886,211,106,1,0,0,0
122,38887,204,109,1,0,0,0
123,38887,207,107,1,0,0,0
