,timestamp,x,y,polarity,_p1,_p2,predict
0,34650,102,67,1,0,0,0
1,34650,88,66,1,0,0,0
2,34650,94,66,1,0,0,0
3,34650,89,67,1,0,0,0
4,34650,91,67,1,0,0,0
5,34650,86,67,1,0,0,0
6,34651,80,79,0,0,0,0
7,34652,92,67,1,0,0,0
8,34652,90,66,1,0,0,0
9,34652,84,65,1,0,0,0
10,34652,87,75,0,0,0,0
11,34652,97,66,1,0,0,0
12,34652,86,66,1,0,0,0
13,34653,79,79,0,0,0,0
14,34653,91,74,0,0,0,0
15,34653,88,75,0,0,0,0
16,34653,86,74,0,0,0,0
17,34653,91,65,1,0,0,0
18,34654,89,68,1,0,0,0
19,34654,85,76,0,0,0,0
20,34654,84,80,0,0,0,0
21,34655,90,70,0,0,0,0
22,34655,92,66,1,0,0,0
23,34655,87,74,0,0,0,0
24,34655,89,66,1,0,0,0
25,34656,103,66,1,0,0,0
26,34656,85,66,1,0,0,0
27,34656,79,76,0,0,0,0
28,34656,92,65,1,0,0,0
29,34656,90,68,1,0,0,0
30,34657,84,75,0,0,0,0
31,34657,89,76,0,0,0,0
32,34657,81,79,0,0,0,0
33,34657,82,79,0,0,0,0
34,34657,80,80,0,0,0,0
35,34657,78,78,0,0,0,0
36,34657,84,79,0,0,0,0
37,34658,85,65,1,0,0,0
38,34658,98,67,1,0,0,0
39,34658,95,61,0,0,0,0
40,34659,95,66,1,0,0,0
41,34659,85,79,0,0,0,0
42,34659,97,65,1,0,0,0
43,34659,65,81,0,0,0,0
44,34659,83,62,1,0,0,0
45,34659,86,68,1,0,0,0
46,34659,84,76,0,0,0,0
47,34659,84,68,1,0,0,0
48,34660,92,74,0,0,0,0
49,34660,78,79,0,0,0,0
50,34660,83,79,0,0,0,0
51,34660,100,65,1,0,0,0
52,34661,101,66,1,0,0,0
53,34661,87,73,0,0,0,0
54,34661,96,62,0,0,0,0
55,34662,80,76,0,0,0,0
56,34662,90,67,1,0,0,0
57,34662,95,60,0,0,0,0
58,34662,103,67,1,0,0,0
59,34662,87,66,1,0,0,0
60,34663,91,68,1,0,0,0
61,34663,85,69,1,0,0,0
62,34663,94,62,0,0,0,0
63,34663,87,76,0,0,0,0
64,34663,88,68,1,0,0,0
65,34663,84,77,0,0,0,0
66,34663,86,77,0,0,0,0
67,34663,83,77,0,0,0,0
68,34664,100,66,1,0,0,0
69,34664,84,67,1,0,0,0
70,34664,94,63,0,0,0,0
71,34664,86,69,1,0,0,0
72,34664,81,74,0,0,0,0
73,34664,98,66,1,0,0,0
74,34665,88,66,1,0,0,0
75,34665,80,78,0,0,0,0
76,34665,101,67,1,0,0,0
77,34665,64,78,0,0,0,0
78,34665,85,80,0,0,0,0
79,34665,85,67,1,0,0,0
80,34665,85,74,0,0,0,0
81,34665,95,63,0,0,0,0
82,34665,103,66,1,0,0,0
83,34666,91,70,1,0,0,0
84,34666,98,65,1,0,0,0
85,34666,91,66,1,0,0,0
86,34666,84,60,1,0,0,0
87,34666,102,66,1,0,0,0
88,34666,86,64,1,0,0,0
89,34666,89,73,0,0,0,0
90,34666,88,65,1,0,0,0
91,34666,97,63,0,0,0,0
92,34667,84,64,1,0,0,0
93,34667,103,65,1,0,0,0
94,34667,90,65,1,0,0,0
95,34667,96,66,1,0,0,0
96,34667,88,69,1,0,0,0
97,34667,83,66,1,0,0,0
98,34667,84,78,0,0,0,0
99,34668,83,61,1,0,0,0
100,34668,90,72,0,0,0,0
101,34668,102,65,1,0,0,0
102,34668,89,66,1,0,0,0
103,34668,78,77,0,0,0,0
104,34669,90,56,1,0,0,0
105,34669,64,79,0,0,0,0
106,34670,62,81,0,0,0,0
107,34670,92,73,0,0,0,0
108,34670,64,77,0,0,0,0
109,34670,93,74,0,0,0,0
110,34670,88,73,0,0,0,0
111,34671,83,68,0,0,0,0
112,34671,91,67,1,0,0,0
113,34671,93,73,0,0,0,0
114,34671,94,74,0,0,0,0
115,34671,81,77,0,0,0,0
116,34671,65,79,0,0,0,0
117,34672,91,72,0,0,0,0
118,34672,99,66,1,0,0,0
119,34672,92,69,1,0,0,0
120,34673,89,75,0,0,0,0
121,34673,85,73,0,0,0,0
122,34673,88,76,0,0,0,0
123,34673,79,77,0,0,0,0
124,34673,95,62,0,0,0,0
125,34674,78,75,0,0,0,0
126,34674,94,72,0,0,0,0
127,34674,79,76,0,0,0,0
128,34674,92,71,0,0,0,0
129,34674,77,77,0,0,0,0
130,34674,96,63,0,0,0,0
131,34674,66,77,0,0,0,0
132,34674,92,75,0,0,0,0
133,34674,84,80,0,0,0,0
134,34674,80,82,0,0,0,0
135,34674,96,65,1,0,0,0
136,34674,97,61,0,0,0,0
137,34674,100,67,1,0,0,0
138,34674,89,74,0,0,0,0
139,34675,83,78,0,0,0,0
140,34675,62,78,0,0,0,0
141,34675,99,65,1,0,0,0
