,timestamp,x,y,polarity,_p1,_p2,predict
0,30000,197,189,1,0,0,1
1,30000,190,188,1,0,0,1
2,30000,198,194,1,0,0,1
3,30000,203,172,1,0,0,1
4,30000,200,199,1,0,0,1
5,30000,204,176,1,0,0,1
6,30000,205,171,1,0,0,1
7,30000,202,192,1,0,0,1
8,30001,202,181,1,0,0,1
9,30001,198,186,1,0,0,1
10,30001,200,188,1,0,0,1
11,30001,202,189,1,0,0,1
12,30002,200,185,1,0,0,1
13,30002,198,189,1,0,0,1
14,30002,187,193,1,0,0,1
15,30002,201,176,1,0,0,1
16,30002,201,189,1,0,0,1
17,30002,201,192,1,0,0,1
18,30002,189,181,1,0,0,1
19,30003,203,185,1,0,0,1
20,30003,198,188,1,0,0,1
21,30003,190,191,1,0,0,1
22,30003,200,178,1,0,0,1
23,30003,199,188,1,0,0,1
24,30003,201,187,1,0,0,1
25,30004,201,179,1,0,0,1
26,30004,203,192,1,0,0,1
27,30004,200,196,1,0,0,1
28,30004,202,188,1,0,0,1
29,30004,194,194,1,0,0,1
30,30004,198,185,1,0,0,1
31,30004,188,196,1,0,0,1
32,30004,198,181,1,0,0,1
33,30004,202,174,1,0,0,1
34,30005,201,178,1,0,0,1
35,30005,205,170,1,0,0,1
36,30005,203,188,1,0,0,1
37,30005,201,186,1,0,0,1
38,30005,204,181,1,0,0,1
39,30005,197,190,1,0,0,1
40,30005,203,180,1,0,0,1
41,30005,200,184,1,0,0,1
42,30005,195,190,1,0,0,1
43,30005,201,182,1,0,0,1
44,30006,199,184,1,0,0,1
45,30006,196,185,1,0,0,1
46,30006,192,191,1,0,0,1
47,30006,192,182,1,0,0,1
48,30006,201,203,1,0,0,1
49,30006,188,188,1,0,0,1
50,30006,203,193,1,0,0,1
51,30006,202,195,1,0,0,1
52,30007,202,183,1,0,0,1
53,30007,197,186,1,0,0,1
54,30007,189,182,1,0,0,1
55,30007,190,181,1,0,0,1
56,30007,188,190,1,0,0,1
57,30007,206,169,1,0,0,1
58,30007,197,188,1,0,0,1
59,30007,188,177,1,0,0,1
60,30008,204,175,1,0,0,1
61,30008,199,183,1,0,0,1
62,30008,197,191,1,0,0,1
63,30008,193,193,1,0,0,1
64,30009,201,190,1,0,0,1
65,30009,197,200,1,0,0,1
66,30009,200,182,1,0,0,1
67,30009,198,187,1,0,0,1
68,30010,204,173,1,0,0,1
69,30010,204,191,1,0,0,1
70,30010,202,178,1,0,0,1
71,30010,201,184,1,0,0,1
72,30010,200,179,1,0,0,1
73,30010,200,191,1,0,0,1
74,30010,203,176,1,0,0,1
75,30010,202,180,1,0,0,1
76,30010,201,193,1,0,0,1
77,30010,197,184,1,0,0,1
78,30011,204,170,1,0,0,1
79,30011,199,185,1,0,0,1
80,30011,198,184,1,0,0,1
81,30011,199,189,1,0,0,1
82,30011,199,182,1,0,0,1
83,30011,188,186,1,0,0,1
84,30011,202,202,1,0,0,1
85,30011,199,200,1,0,0,1
86,30012,198,190,1,0,0,1
87,30012,189,186,1,0,0,1
88,30012,189,179,1,0,0,1
89,30013,203,183,1,0,0,1
90,30013,197,182,1,0,0,1
91,30014,204,171,1,0,0,1
92,30014,202,181,1,0,0,1
93,30014,190,185,1,0,0,1
94,30014,196,184,1,0,0,1
95,30015,201,194,1,0,0,1
96,30015,206,170,1,0,0,1
97,30015,201,185,1,0,0,1
98,30015,200,181,1,0,0,1
99,30015,195,182,1,0,0,1
100,30016,204,174,1,0,0,1
101,30016,203,181,1,0,0,1
102,30016,199,181,1,0,0,1
103,30016,200,190,1,0,0,1
104,30016,193,190,1,0,0,1
105,30016,200,187,1,0,0,1
106,30016,199,180,1,0,0,1
107,30016,195,185,1,0,0,1
108,30016,201,180,1,0,0,1
109,30017,197,185,1,0,0,1
110,30017,189,189,1,0,0,1
111,30017,198,180,1,0,0,1
112,30017,201,181,1,0,0,1
113,30018,202,193,1,0,0,1
114,30018,203,170,1,0,0,1
115,30018,203,174,1,0,0,1
116,30019,202,190,1,0,0,1
117,30019,204,185,1,0,0,1
118,30019,202,177,1,0,0,1
119,30019,205,190,1,0,0,1
120,30019,199,186,1,0,0,1
121,30019,187,178,1,0,0,1
122,30019,190,182,1,0,0,1
123,30019,190,189,0,0,0,1
124,30019,187,192,1,0,0,1
125,30020,200,185,1,0,0,1
126,30020,203,187,1,0,0,1
127,30020,202,175,1,0,0,1
128,30021,198,182,1,0,0,1
129,30021,199,190,1,0,0,1
130,30021,200,193,1,0,0,1
131,30021,196,192,1,0,0,1
132,30022,202,179,1,0,0,1
133,30022,191,184,1,0,0,1
134,30022,203,190,1,0,0,1
135,30022,188,192,1,0,0,1
136,30022,195,196,1,0,0,1
137,30022,202,185,1,0,0,1
138,30022,188,178,1,0,0,1
139,30023,195,188,1,0,0,1
140,30023,200,180,1,0,0,1
141,30023,203,184,1,0,0,1
142,30023,201,186,1,0,0,1
143,30024,197,192,1,0,0,1
144,30024,203,179,1,0,0,1
145,30024,188,179,1,0,0,1
146,30024,187,195,1,0,0,1
147,30024,190,186,1,0,0,1
148,30024,202,191,1,0,0,1
149,30024,203,172,1,0,0,1
150,30025,201,182,1,0,0,1
151,30025,200,184,1,0,0,1
152,30026,202,186,1,0,0,1
153,30026,201,183,1,0,0,1
154,30026,199,182,1,0,0,1
