,timestamp,x,y,polarity,_p1,_p2,predict
0,193,147,248,1,0,0,1
1,194,146,244,1,0,0,1
2,194,148,248,1,0,0,1
3,195,151,249,1,0,0,1
4,195,148,247,1,0,0,1
5,195,144,242,1,0,0,1
6,195,151,251,1,0,0,1
7,195,148,246,1,0,0,1
8,196,143,242,1,0,0,1
9,196,150,240,1,0,0,1
10,196,152,253,1,0,0,1
11,196,152,251,1,0,0,1
12,198,148,244,1,0,0,1
13,198,143,253,0,0,0,1
14,199,147,246,1,0,0,1
15,199,149,244,1,0,0,1
16,199,155,254,1,0,0,1
17,199,153,246,1,0,0,1
18,201,136,236,1,0,0,1
19,201,137,250,0,0,0,1
20,201,138,257,0,0,0,1
21,202,146,245,1,0,0,1
22,203,141,252,0,0,0,1
23,203,135,245,1,0,0,1
24,203,146,246,1,0,0,1
25,204,140,253,0,0,0,1
26,204,137,235,1,0,0,1
27,204,141,253,0,0,0,1
28,204,150,250,1,0,0,1
29,204,134,237,1,0,0,1
30,205,153,254,1,0,0,1
31,205,160,247,0,0,0,1
32,205,151,250,1,0,0,1
33,205,152,255,1,0,0,1
34,205,130,243,1,0,0,1
35,205,162,243,0,0,0,1
36,205,149,248,1,0,0,1
37,205,148,245,1,0,0,1
38,206,146,240,1,0,0,1
39,206,155,255,1,0,0,1
40,206,161,253,1,0,0,1
41,207,155,257,1,0,0,1
42,207,135,234,1,0,0,1
43,208,154,253,1,0,0,1
44,208,153,257,1,0,0,1
45,208,151,252,1,0,0,1
46,208,154,254,1,0,0,1
47,209,134,234,1,0,0,1
48,209,154,256,1,0,0,1
49,209,139,252,0,0,0,1
50,209,156,250,1,0,0,1
51,209,134,246,1,0,0,1
52,210,145,247,1,0,0,1
53,210,138,252,0,0,0,1
54,210,147,248,1,0,0,1
55,210,137,238,1,0,0,1
56,211,147,243,1,0,0,1
57,211,130,245,1,0,0,1
58,212,149,250,1,0,0,1
59,212,147,244,1,0,0,1
60,212,152,246,1,0,0,1
61,212,154,249,1,0,0,1
62,212,134,235,1,0,0,1
63,213,150,249,1,0,0,1
64,213,151,247,1,0,0,1
65,213,147,249,1,0,0,1
66,213,150,246,1,0,0,1
67,214,135,236,1,0,0,1
68,214,146,249,1,0,0,1
69,214,145,246,1,0,0,1
70,214,139,239,1,0,0,1
71,214,150,252,1,0,0,1
72,215,135,252,0,0,0,1
73,216,138,236,1,0,0,1
74,216,142,251,0,0,0,1
75,217,152,252,1,0,0,1
76,217,141,251,0,0,0,1
77,217,154,250,1,0,0,1
78,217,154,251,1,0,0,1
79,217,139,254,0,0,0,1
80,217,140,255,0,0,0,1
81,217,149,247,1,0,0,1
82,218,133,233,1,0,0,1
83,218,146,248,1,0,0,1
84,218,153,252,1,0,0,1
85,218,149,251,1,0,0,1
86,218,136,237,1,0,0,1
87,218,148,250,1,0,0,1
88,218,139,251,0,0,0,1
89,218,151,253,1,0,0,1
90,219,135,237,1,0,0,1
91,219,139,256,0,0,0,1
92,219,148,248,1,0,0,1
93,220,156,255,1,0,0,1
94,220,140,252,0,0,0,1
95,220,148,249,1,0,0,1
96,220,154,255,1,0,0,1
97,220,133,245,1,0,0,1
98,220,149,246,1,0,0,1
99,220,147,240,1,0,0,1
100,221,153,251,1,0,0,1
101,221,145,244,1,0,0,1
102,221,127,256,1,0,0,1
103,221,134,257,1,0,0,1
104,221,150,247,1,0,0,1
105,221,153,248,1,0,0,1
106,222,143,254,0,0,0,1
107,222,152,253,1,0,0,1
108,222,134,251,0,0,0,1
109,222,146,247,1,0,0,1
110,223,145,250,1,0,0,1
111,223,152,254,1,0,0,1
