,timestamp,x,y,polarity,_p1,_p2,predict
0,30300,204,45,0,0,0,0
1,30300,207,55,0,0,0,0
2,30300,196,47,0,0,0,0
3,30300,204,60,0,0,0,0
4,30300,202,41,0,0,0,0
5,30300,198,52,0,0,0,0
6,30301,200,45,0,0,0,0
7,30301,202,58,0,0,0,0
8,30301,203,52,0,0,0,0
9,30301,203,44,0,0,0,0
10,30302,203,59,0,0,0,0
11,30302,200,47,0,0,0,0
12,30302,204,59,0,0,0,0
13,30302,202,57,0,0,0,0
14,30302,208,46,0,0,0,0
15,30302,197,42,0,0,0,0
16,30302,199,57,0,0,0,0
17,30302,214,46,0,0,0,0
18,30302,196,49,0,0,0,0
19,30303,199,44,0,0,0,0
20,30303,200,60,0,0,0,0
21,30303,196,54,0,0,0,0
22,30303,207,58,0,0,0,0
23,30303,208,52,0,0,0,0
24,30304,199,46,0,0,0,0
25,30304,198,47,0,0,0,0
26,30304,211,47,0,0,0,0
27,30304,197,40,0,0,0,0
28,30304,202,40,0,0,0,0
29,30304,208,61,0,0,0,0
30,30304,198,46,0,0,0,0
31,30304,199,53,0,0,0,0
32,30305,204,57,0,0,0,0
33,30305,197,49,0,0,0,0
34,30305,204,56,0,0,0,0
35,30305,203,65,0,0,0,0
36,30306,204,58,0,0,0,0
37,30306,198,49,0,0,0,0
38,30306,206,45,0,0,0,0
39,30306,206,51,0,0,0,0
40,30306,194,46,0,0,0,0
41,30306,196,46,0,0,0,0
42,30306,204,64,0,0,0,0
43,30307,208,53,0,0,0,0
44,30307,197,52,0,0,0,0
45,30307,202,65,0,0,0,0
46,30307,203,45,0,0,0,0
47,30307,205,62,0,0,0,0
48,30308,208,55,0,0,0,0
49,30308,205,53,0,0,0,0
50,30308,207,56,0,0,0,0
51,30309,206,62,0,0,0,0
52,30309,204,47,0,0,0,0
53,30309,201,61,0,0,0,0
54,30310,193,43,0,0,0,0
55,30310,204,53,0,0,0,0
56,30310,208,59,0,0,0,0
57,30311,201,56,0,0,0,0
58,30311,205,46,0,0,0,0
59,30312,211,67,0,0,0,0
60,30312,206,47,0,0,0,0
61,30313,194,48,0,0,0,0
62,30313,210,55,0,0,0,0
63,30313,212,51,0,0,0,0
64,30314,200,54,0,0,0,0
65,30314,206,63,0,0,0,0
66,30314,213,47,0,0,0,0
67,30315,199,51,0,0,0,0
68,30315,207,47,0,0,0,0
69,30315,201,57,0,0,0,0
70,30315,207,64,0,0,0,0
71,30315,205,48,0,0,0,0
72,30315,195,62,0,0,0,0
73,30316,194,50,0,0,0,0
74,30316,196,45,0,0,0,0
75,30316,199,52,0,0,0,0
76,30317,208,64,0,0,0,0
77,30317,193,47,0,0,0,0
78,30317,206,48,0,0,0,0
79,30318,202,53,0,0,0,0
80,30318,212,68,0,0,0,0
81,30318,201,44,0,0,0,0
82,30318,201,52,0,0,0,0
83,30318,210,49,0,0,0,0
84,30318,214,50,0,0,0,0
85,30319,196,62,0,0,0,0
86,30319,201,45,0,0,0,0
87,30319,210,66,0,0,0,0
88,30319,208,43,0,0,0,0
89,30319,205,55,0,0,0,0
90,30319,203,57,0,0,0,0
91,30320,199,56,0,0,0,0
92,30320,200,42,0,0,0,0
93,30320,211,49,0,0,0,0
94,30320,211,66,0,0,0,0
95,30320,199,50,0,0,0,0
96,30321,206,53,0,0,0,0
97,30321,203,64,0,0,0,0
98,30321,197,43,0,0,0,0
99,30321,195,50,0,0,0,0
100,30321,204,42,0,0,0,0
101,30321,198,53,0,0,0,0
102,30321,210,51,0,0,0,0
103,30322,202,42,0,0,0,0
104,30322,197,51,0,0,0,0
105,30323,201,55,0,0,0,0
106,30323,210,65,0,0,0,0
107,30323,210,50,0,0,0,0
108,30324,207,60,0,0,0,0
109,30324,215,45,0,0,0,0
110,30325,203,50,0,0,0,0
111,30326,198,57,0,0,0,0
