,timestamp,x,y,polarity,_p1,_p2,predict
0,23400,194,202,1,0,0,0
1,23400,208,193,1,0,0,0
2,23400,213,182,1,0,0,0
3,23400,212,180,1,0,0,0
4,23400,206,189,1,0,0,0
5,23400,203,189,1,0,0,0
6,23400,205,190,1,0,0,0
7,23401,206,204,1,0,0,0
8,23401,199,197,1,0,0,0
9,23402,196,201,1,0,0,0
10,23402,206,203,1,0,0,0
11,23402,210,180,1,0,0,0
12,23402,193,194,1,0,0,0
13,23402,204,191,1,0,0,0
14,23402,207,203,1,0,0,0
15,23402,203,196,1,0,0,0
16,23402,202,197,1,0,0,0
17,23402,206,188,1,0,0,0
18,23402,208,195,1,0,0,0
19,23402,191,194,1,0,0,0
20,23402,210,192,1,0,0,0
21,23402,194,199,1,0,0,0
22,23403,211,179,1,0,0,0
23,23403,208,187,1,0,0,0
24,23403,204,193,1,0,0,0
25,23403,200,192,1,0,0,0
26,23403,194,193,1,0,0,0
27,23404,207,190,1,0,0,0
28,23404,209,206,1,0,0,0
29,23404,208,207,1,0,0,0
30,23404,202,177,1,0,0,0
31,23404,202,195,1,0,0,0
32,23404,188,191,1,0,0,0
33,23404,194,195,1,0,0,0
34,23404,201,197,1,0,0,0
35,23405,193,205,1,0,0,0
36,23405,209,180,1,0,0,0
37,23405,207,195,1,0,0,0
38,23405,192,193,1,0,0,0
39,23405,196,196,1,0,0,0
40,23406,203,177,1,0,0,0
41,23406,204,197,1,0,0,0
42,23407,204,208,1,0,0,0
43,23407,202,198,1,0,0,0
44,23407,208,194,1,0,0,0
45,23408,209,189,1,0,0,0
46,23408,208,202,1,0,0,0
47,23409,200,194,1,0,0,0
48,23409,196,193,1,0,0,0
49,23409,211,189,1,0,0,0
50,23409,202,194,1,0,0,0
51,23410,204,188,1,0,0,0
52,23410,201,193,1,0,0,0
53,23410,211,191,1,0,0,0
54,23410,203,201,1,0,0,0
55,23410,209,204,1,0,0,0
56,23410,209,194,1,0,0,0
57,23410,191,201,1,0,0,0
58,23410,204,198,1,0,0,0
59,23410,199,196,1,0,0,0
60,23411,193,200,1,0,0,0
61,23412,206,185,1,0,0,0
62,23412,191,190,0,0,0,0
63,23412,192,199,1,0,0,0
64,23412,196,194,1,0,0,0
65,23412,204,182,1,0,0,0
66,23412,206,190,1,0,0,0
67,23413,212,181,1,0,0,0
68,23414,209,178,1,0,0,0
69,23414,204,203,1,0,0,0
70,23414,194,203,1,0,0,0
71,23415,209,193,1,0,0,0
72,23415,202,176,1,0,0,0
73,23415,210,185,1,0,0,0
74,23415,199,192,1,0,0,0
75,23415,194,201,1,0,0,0
76,23415,205,193,1,0,0,0
77,23415,206,202,1,0,0,0
78,23416,202,191,1,0,0,0
79,23416,197,197,1,0,0,0
80,23416,204,192,1,0,0,0
81,23416,202,189,1,0,0,0
82,23416,202,175,1,0,0,0
83,23416,205,191,1,0,0,0
84,23417,209,191,1,0,0,0
85,23417,205,180,1,0,0,0
86,23417,208,206,1,0,0,0
87,23418,208,204,1,0,0,0
88,23418,205,195,1,0,0,0
89,23418,200,195,1,0,0,0
90,23418,199,195,1,0,0,0
91,23419,203,192,1,0,0,0
92,23420,208,197,1,0,0,0
93,23420,205,182,1,0,0,0
94,23420,194,204,1,0,0,0
95,23420,203,178,1,0,0,0
96,23420,193,185,1,0,0,0
97,23420,204,190,1,0,0,0
98,23421,191,202,1,0,0,0
99,23421,204,179,1,0,0,0
100,23422,207,189,1,0,0,0
101,23422,207,197,1,0,0,0
102,23422,203,198,1,0,0,0
103,23422,202,199,1,0,0,0
104,23422,209,197,1,0,0,0
105,23422,211,194,1,0,0,0
106,23422,207,206,1,0,0,0
107,23423,208,201,1,0,0,0
108,23423,204,185,1,0,0,0
109,23424,206,193,1,0,0,0
110,23424,205,204,1,0,0,0
111,23424,208,192,1,0,0,0
112,23424,204,202,1,0,0,0
113,23424,205,192,1,0,0,0
114,23425,203,206,1,0,0,0
115,23426,192,183,1,0,0,0
116,23426,207,194,1,0,0,0
117,23427,203,182,1,0,0,0
118,23427,208,207,1,0,0,0
119,23427,204,210,1,0,0,0
120,23428,209,205,1,0,0,0
121,23428,206,191,1,0,0,0
122,23428,206,187,1,0,0,0
123,23428,205,200,1,0,0,0
124,23429,197,212,0,0,0,0
125,23429,192,201,1,0,0,0
126,23430,205,183,1,0,0,0
127,23430,209,186,1,0,0,0
128,23430,195,200,1,0,0,0
129,23430,201,192,1,0,0,0
130,23430,207,201,1,0,0,0
131,23430,206,195,1,0,0,0
132,23431,202,188,1,0,0,0
133,23431,204,206,1,0,0,0
134,23431,200,191,1,0,0,0
135,23431,192,202,1,0,0,0
136,23431,197,192,1,0,0,0
137,23431,193,201,1,0,0,0
138,23431,198,192,1,0,0,0
139,23432,194,192,1,0,0,0
140,23432,212,194,1,0,0,0
141,23432,205,210,1,0,0,0
142,23432,205,190,1,0,0,0
143,23433,204,195,1,0,0,0
144,23433,207,193,1,0,0,0
145,23433,193,203,1,0,0,0
146,23433,203,193,1,0,0,0
147,23434,197,195,1,0,0,0
148,23434,198,197,1,0,0,0
149,23434,205,208,1,0,0,0
150,23434,201,201,1,0,0,0
151,23435,201,196,1,0,0,0
152,23435,204,194,1,0,0,0
153,23435,206,192,1,0,0,0
154,23435,203,200,1,0,0,0
155,23437,206,194,1,0,0,0
156,23438,202,196,1,0,0,0
157,23438,207,202,1,0,0,0
